"ID_Produs","Denumire_Produs","Categorie_Produs","Pret_Produs"
0,"Apa plata","nealcoolice",2.5
1,"Suc de portocale","nealcoolice",3.0
2,"Cola","nealcoolice",2.0
3,"Cafea","nealcoolice",4.5
4,"Ceai verde","nealcoolice",3.5
5,"Bere blonda","alcoolice",5.0
6,"Vin rosu","alcoolice",12.0
7,"Vodca","alcoolice",20.0
8,"Whisky","alcoolice",35.0
9,"Lichior de ciocolata","alcoolice",18.0
10,"Suc de mere","nealcoolice",2.8
11,"Limonada","nealcoolice",2.5
12,"Ceai de fructe","nealcoolice",3.2
13,"Vin alb","alcoolice",10.5
14,"Bere neagra","alcoolice",6.5
15,"Gin","alcoolice",25.0
16,"Rom","alcoolice",22.0
17,"Vodca aromata","alcoolice",21.0
18,"Apa minerala","nealcoolice",2.3
19,"Suc de ananas","nealcoolice",3.2

